race_name,race_class,name,nationality,rider_id,final_position,total_time,total_points,pro_points,queen_points,power_points,team.teamClass,team.teamClassId,team.teamId,team.teamName,stage_1_time,stage_1_stage_result,stage_1_cumulative_result,stage_1_cumulative_behind,stage_1_overall_time,stage_2_time,stage_2_stage_result,stage_2_cumulative_result,stage_2_cumulative_behind,stage_2_overall_time,stage_3_time,stage_3_stage_result,stage_3_cumulative_result,stage_3_cumulative_behind,stage_3_overall_time,stage_4_time,stage_4_stage_result,stage_4_cumulative_result,stage_4_cumulative_behind,stage_4_overall_time,stage_5_time,stage_5_stage_result,stage_5_cumulative_result,stage_5_cumulative_behind,stage_5_overall_time,stage_6_time,stage_6_stage_result,stage_6_cumulative_result,stage_6_cumulative_behind,stage_6_overall_time,stage_0_time,stage_0_stage_result,stage_0_cumulative_result,stage_0_cumulative_behind,stage_0_overall_time
EWS Burke,WOMEN | Master 35+,THOMSEN Sandra Bohn,DEN,33584,1,+00:00:42:52.280,180,15,15,N/A,N/A,N/A,N/A,N/A,+00:00:08:32.300,1,1,+00:00:00:00.000,+00:00:08:32.300,+00:00:07:56.120,2,1,+00:00:00:00.000,+00:00:16:28.420,+00:00:03:46.650,2,1,+00:00:00:00.000,+00:00:20:15.070,+00:00:03:08.250,2,1,+00:00:00:00.000,+00:00:23:23.320,+00:00:11:23.830,1,1,+00:00:00:00.000,+00:00:34:47.150,+00:00:08:05.130,1,1,+00:00:00:00.000,+00:00:42:52.280,,,,,
EWS Burke,WOMEN | Master 35+,NEWELL Melissa,NZL,21458,2,+00:00:43:59.310,120,10,10,N/A,N/A,N/A,N/A,N/A,+00:00:08:45.150,2,2,+00:00:00:12.850,+00:00:08:45.150,+00:00:07:53.840,1,2,+00:00:00:10.570,+00:00:16:38.990,+00:00:03:46.340,1,2,+00:00:00:10.260,+00:00:20:25.330,+00:00:03:05.420,1,2,+00:00:00:07.430,+00:00:23:30.750,+00:00:11:48.630,2,2,+00:00:00:32.230,+00:00:35:19.380,+00:00:08:39.930,2,2,+00:00:01:07.030,+00:00:43:59.310,,,,,
EWS Burke,WOMEN | Master 35+,MCCONNELOUG Mary,USA,22390,3,+00:00:49:09.210,60,5,5,N/A,N/A,N/A,N/A,N/A,+00:00:10:49.820,3,3,+00:00:02:17.520,+00:00:10:49.820,+00:00:08:22.800,4,3,+00:00:02:44.200,+00:00:19:12.620,+00:00:04:12.290,5,3,+00:00:03:09.840,+00:00:23:24.910,+00:00:03:24.400,5,4,+00:00:03:25.990,+00:00:26:49.310,+00:00:12:44.720,3,4,+00:00:04:46.880,+00:00:39:34.030,+00:00:09:35.180,3,3,+00:00:06:16.930,+00:00:49:09.210,,,,,
EWS Burke,WOMEN | Master 35+,CONTENTOANGELL Kristine,USA,33608,4,+00:00:50:05.980,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:11:22.970,4,4,+00:00:02:50.670,+00:00:11:22.970,+00:00:08:00.800,3,4,+00:00:02:55.350,+00:00:19:23.770,+00:00:04:01.620,3,4,+00:00:03:10.320,+00:00:23:25.390,+00:00:03:16.610,4,3,+00:00:03:18.680,+00:00:26:42.000,+00:00:12:50.530,4,3,+00:00:04:45.380,+00:00:39:32.530,+00:00:10:33.450,5,4,+00:00:07:13.700,+00:00:50:05.980,,,,,
EWS Burke,WOMEN | Master 35+,KANAYAN Heidi,USA,24737,5,+00:00:53:15.800,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:12:39.280,5,5,+00:00:05:06.980,+00:00:13:39.280,+00:00:08:40.320,5,5,+00:00:05:51.180,+00:00:22:19.600,+00:00:04:01.980,4,5,+00:00:06:06.510,+00:00:26:21.580,+00:00:03:15.220,3,5,+00:00:06:13.480,+00:00:29:36.800,+00:00:13:30.700,5,5,+00:00:08:20.350,+00:00:43:07.500,+00:00:10:08.300,4,5,+00:00:10:23.520,+00:00:53:15.800,,,,,
EWS Burke,MEN | Master 35+,KIRSCHER Franck,FRA,22930,1,+00:00:35:02.680,330,15,15,N/A,N/A,N/A,N/A,N/A,+00:00:06:33.370,1,1,+00:00:00:00.000,+00:00:06:33.370,+00:00:06:28.900,1,1,+00:00:00:00.000,+00:00:13:02.270,+00:00:03:15.070,2,1,+00:00:00:00.000,+00:00:16:17.340,+00:00:02:38.790,1,1,+00:00:00:00.000,+00:00:18:56.130,+00:00:09:24.390,1,1,+00:00:00:00.000,+00:00:28:20.520,+00:00:06:42.160,3,1,+00:00:00:00.000,+00:00:35:02.680,,,,,
EWS Burke,MEN | Master 35+,AMOUR Karim,FRA,21696,2,+00:00:36:25.690,265,10,5,N/A,Pro,2,49,BH Enduro Racing Team,+00:00:06:59.940,2,2,+00:00:00:26.570,+00:00:06:59.940,+00:00:06:52.250,6,2,+00:00:00:49.920,+00:00:13:52.190,+00:00:03:20.170,7,2,+00:00:00:55.020,+00:00:17:12.360,+00:00:02:44.390,3,2,+00:00:01:00.620,+00:00:19:56.750,+00:00:09:53.850,3,2,+00:00:01:30.080,+00:00:29:50.600,+00:00:06:35.090,1,2,+00:00:01:23.010,+00:00:36:25.690,,,,,
EWS Burke,MEN | Master 35+,WEIDEMANN Mads,DEN,33629,3,+00:00:36:38.910,230,N/A,10,N/A,N/A,N/A,N/A,N/A,+00:00:07:07.820,4,4,+00:00:00:34.450,+00:00:07:07.820,+00:00:06:52.130,5,4,+00:00:00:57.680,+00:00:13:59.950,+00:00:03:16.770,3,5,+00:00:00:59.380,+00:00:17:16.720,+00:00:02:46.500,8,5,+00:00:01:07.090,+00:00:20:03.220,+00:00:09:53.780,2,3,+00:00:01:36.480,+00:00:29:57.000,+00:00:06:41.910,2,3,+00:00:01:36.230,+00:00:36:38.910,,,,,
EWS Burke,MEN | Master 35+,CANFIELD Christopher,USA,35613,4,+00:00:36:45.430,205,5,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:07.600,3,3,+00:00:00:34.230,+00:00:07:07.600,+00:00:06:49.050,3,3,+00:00:00:54.380,+00:00:13:56.650,+00:00:03:17.450,4,3,+00:00:00:56.760,+00:00:17:14.100,+00:00:02:45.600,6,3,+00:00:01:03.570,+00:00:19:59.700,+00:00:09:59.020,7,5,+00:00:01:38.200,+00:00:29:58.720,+00:00:06:46.710,4,4,+00:00:01:42.750,+00:00:36:45.430,,,,,
EWS Burke,MEN | Master 35+,LEDUC Charles,CAN,39128,5,+00:00:36:55.740,190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:13.570,5,5,+00:00:00:40.200,+00:00:07:13.570,+00:00:06:48.380,2,5,+00:00:00:59.680,+00:00:14:01.950,+00:00:03:13.690,1,4,+00:00:00:58.300,+00:00:17:15.640,+00:00:02:45.140,4,4,+00:00:01:04.650,+00:00:20:00.780,+00:00:09:57.170,5,4,+00:00:01:37.430,+00:00:29:57.950,+00:00:06:57.790,6,5,+00:00:01:53.060,+00:00:36:55.740,,,,,
EWS Burke,MEN | Master 35+,COOPER William,USA,23457,6,+00:00:37:03.430,180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:13.940,6,6,+00:00:00:40.570,+00:00:07:13.940,+00:00:06:51.450,4,6,+00:00:01:03.120,+00:00:14:05.390,+00:00:03:25.860,12,6,+00:00:01:13.910,+00:00:17:31.250,+00:00:02:44.300,2,6,+00:00:01:19.420,+00:00:20:15.550,+00:00:09:57.900,6,6,+00:00:01:52.930,+00:00:30:13.450,+00:00:06:49.980,5,6,+00:00:02:00.750,+00:00:37:03.430,,,,,
EWS Burke,MEN | Master 35+,BRODERICK Michael,USA,22376,7,+00:00:37:37.650,170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:32.810,11,11,+00:00:00:59.440,+00:00:07:32.810,+00:00:06:56.070,10,10,+00:00:01:26.610,+00:00:14:28.880,+00:00:03:19.290,5,9,+00:00:01:30.830,+00:00:17:48.170,+00:00:02:46.220,7,8,+00:00:01:38.260,+00:00:20:34.390,+00:00:09:56.400,4,7,+00:00:02:10.270,+00:00:30:30.790,+00:00:07:06.860,8,7,+00:00:02:34.970,+00:00:37:37.650,,,,,
EWS Burke,MEN | Master 35+,SCHEIDING Jason,USA,22966,8,+00:00:37:46.650,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:22.540,8,8,+00:00:00:49.170,+00:00:07:22.540,+00:00:06:55.370,9,7,+00:00:01:15.640,+00:00:14:17.910,+00:00:03:20.120,6,7,+00:00:01:20.690,+00:00:17:38.030,+00:00:02:45.580,5,7,+00:00:01:27.480,+00:00:20:23.610,+00:00:10:15.630,10,8,+00:00:02:18.720,+00:00:30:39.240,+00:00:07:07.410,9,8,+00:00:02:43.970,+00:00:37:46.650,,,,,
EWS Burke,MEN | Master 35+,CARREZ Cedric,FRA,23588,9,+00:00:37:52.590,150,N/A,N/A,N/A,Premier,1,13,Lapierre Zipp Collective,+00:00:07:17.980,7,7,+00:00:00:44.610,+00:00:07:17.980,+00:00:07:10.440,14,9,+00:00:01:26.150,+00:00:14:28.420,+00:00:03:21.970,9,10,+00:00:01:33.050,+00:00:17:50.390,+00:00:02:50.780,12,10,+00:00:01:45.040,+00:00:20:41.170,+00:00:10:07.520,9,10,+00:00:02:28.170,+00:00:30:48.690,+00:00:07:03.900,7,9,+00:00:02:49.910,+00:00:37:52.590,,,,,
EWS Burke,MEN | Master 35+,LEECH Ryan,USA,24433,10,+00:00:37:58.390,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:29.220,9,9,+00:00:00:55.850,+00:00:07:29.220,+00:00:06:52.380,7,8,+00:00:01:19.330,+00:00:14:21.600,+00:00:03:26.110,13,8,+00:00:01:30.370,+00:00:17:47.710,+00:00:02:51.450,14,9,+00:00:01:43.030,+00:00:20:39.160,+00:00:10:04.370,8,9,+00:00:02:23.010,+00:00:30:43.530,+00:00:07:14.860,11,10,+00:00:02:55.710,+00:00:37:58.390,,,,,
EWS Burke,MEN | Master 35+,OSHURA John Shane,USA,22013,11,+00:00:38:40.540,115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:32.720,10,10,+00:00:00:59.350,+00:00:07:32.720,+00:00:07:02.120,12,12,+00:00:01:32.570,+00:00:14:34.840,+00:00:03:22.150,11,11,+00:00:01:39.650,+00:00:17:56.990,+00:00:02:49.020,10,11,+00:00:01:49.880,+00:00:20:46.010,+00:00:10:43.070,18,13,+00:00:03:08.560,+00:00:31:29.080,+00:00:07:11.460,10,11,+00:00:03:37.860,+00:00:38:40.540,,,,,
EWS Burke,MEN | Master 35+,NABLO Brooks,USA,40195,12,+00:00:38:46.010,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:38.270,13,13,+00:00:01:04.900,+00:00:07:38.270,+00:00:06:54.330,8,11,+00:00:01:30.330,+00:00:14:32.600,+00:00:03:33.610,18,13,+00:00:01:48.870,+00:00:18:06.210,+00:00:02:50.830,13,13,+00:00:02:00.910,+00:00:20:57.040,+00:00:10:19.700,11,11,+00:00:02:56.220,+00:00:31:16.740,+00:00:07:29.270,15,12,+00:00:03:43.330,+00:00:38:46.010,,,,,
EWS Burke,MEN | Master 35+,BIGHAM Ryan,USA,34266,13,+00:00:38:48.920,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:33.840,12,12,+00:00:01:00.470,+00:00:07:33.840,+00:00:07:03.050,13,13,+00:00:01:34.620,+00:00:14:36.890,+00:00:03:22.100,10,12,+00:00:01:41.650,+00:00:17:58.990,+00:00:02:47.850,9,12,+00:00:01:50.710,+00:00:20:46.840,+00:00:10:40.250,15,12,+00:00:03:06.570,+00:00:31:27.090,+00:00:07:21.830,14,13,+00:00:03:46.240,+00:00:38:48.920,,,,,
EWS Burke,MEN | Master 35+,LAWWILL Joe,USA,24749,14,+00:00:39:14.000,85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:45.040,14,14,+00:00:01:11.670,+00:00:07:45.040,+00:00:07:13.590,16,15,+00:00:01:56.360,+00:00:14:58.630,+00:00:03:26.980,14,15,+00:00:02:08.270,+00:00:18:25.610,+00:00:02:50.760,11,14,+00:00:02:20.240,+00:00:21:16.370,+00:00:10:38.750,14,15,+00:00:03:34.600,+00:00:31:55.120,+00:00:07:18.880,13,14,+00:00:04:11.320,+00:00:39:14.000,,,,,
EWS Burke,MEN | Master 35+,WILLIAMS Adam,USA,38122,15,+00:00:39:15.460,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:52.690,17,17,+00:00:01:19.320,+00:00:07:52.690,+00:00:06:58.530,11,14,+00:00:01:48.950,+00:00:14:51.220,+00:00:03:31.850,17,14,+00:00:02:05.730,+00:00:18:23.070,+00:00:02:53.310,17,15,+00:00:02:20.250,+00:00:21:16.380,+00:00:10:27.780,13,14,+00:00:03:23.640,+00:00:31:44.160,+00:00:07:31.300,16,15,+00:00:04:12.780,+00:00:39:15.460,,,,,
EWS Burke,MEN | Master 35+,GIARDINA Matthew,USA,39367,16,+00:00:39:47.760,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:47.980,15,15,+00:00:01:14.610,+00:00:07:47.980,+00:00:07:11.440,15,16,+00:00:01:57.150,+00:00:14:59.420,+00:00:03:30.940,16,16,+00:00:02:13.020,+00:00:18:30.360,+00:00:02:54.940,19,16,+00:00:02:29.170,+00:00:21:25.300,+00:00:10:42.390,16,16,+00:00:03:47.170,+00:00:32:07.690,+00:00:07:40.070,17,16,+00:00:04:45.080,+00:00:39:47.760,,,,,
EWS Burke,MEN | Master 35+,BISHOP Allan,USA,33429,17,+00:00:40:16.580,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:07:49.330,16,16,+00:00:01:15.960,+00:00:07:49.330,+00:00:08:34.890,20,20,+00:00:03:21.950,+00:00:16:24.220,+00:00:03:21.930,8,20,+00:00:03:28.810,+00:00:19:46.150,+00:00:02:51.750,15,20,+00:00:03:41.770,+00:00:22:37.900,+00:00:10:21.930,12,18,+00:00:04:39.310,+00:00:32:59.830,+00:00:07:16.750,12,17,+00:00:05:13.900,+00:00:40:16.580,,,,,
EWS Burke,MEN | Master 35+,TREGLIA Benedict,USA,22762,18,+00:00:40:33.420,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:08:11.460,19,19,+00:00:01:38.090,+00:00:08:11.460,+00:00:07:22.630,18,18,+00:00:02:31.820,+00:00:15:34.090,+00:00:03:30.570,15,17,+00:00:02:47.320,+00:00:19:04.660,+00:00:02:54.830,18,17,+00:00:03:03.360,+00:00:21:59.490,+00:00:10:42.500,17,17,+00:00:04:21.470,+00:00:32:41.990,+00:00:07:51.430,19,18,+00:00:05:30.740,+00:00:40:33.420,,,,,
EWS Burke,MEN | Master 35+,ALCISTO Patrick,USA,38277,19,+00:00:41:04.160,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:08:04.200,18,18,+00:00:01:30.830,+00:00:08:04.200,+00:00:07:35.440,19,19,+00:00:02:37.370,+00:00:15:39.640,+00:00:03:34.570,19,19,+00:00:02:56.870,+00:00:19:14.210,+00:00:02:53.000,16,18,+00:00:03:11.080,+00:00:22:07.210,+00:00:11:15.250,20,20,+00:00:05:01.940,+00:00:33:22.460,+00:00:07:41.700,18,19,+00:00:06:01.480,+00:00:41:04.160,,,,,
EWS Burke,MEN | Master 35+,ADOLPHSON Odin,USA,22332,20,+00:00:41:09.570,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:08:12.590,20,20,+00:00:01:39.220,+00:00:08:12.590,+00:00:07:17.290,17,17,+00:00:02:27.610,+00:00:15:29.880,+00:00:03:39.980,20,18,+00:00:02:52.520,+00:00:19:09.860,+00:00:03:01.150,20,19,+00:00:03:14.880,+00:00:22:11.010,+00:00:11:01.160,19,19,+00:00:04:51.650,+00:00:33:12.170,+00:00:07:57.400,20,20,+00:00:06:06.890,+00:00:41:09.570,,,,,
EWS Burke,MEN | Master 35+,STERCKX Ronny,CAN,22632,DNF,DNF,0,N/A,N/A,N/A,Development,5,99,RST Enduro Team,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,,,,,
EWS Burke,WOMEN | Under 21,RIVA Sophie,ITA,33949,1,+00:00:40:36.880,180,15,15,N/A,N/A,N/A,N/A,N/A,+00:00:07:52.160,1,1,+00:00:00:00.000,+00:00:07:52.160,+00:00:07:31.570,3,1,+00:00:00:00.000,+00:00:15:23.730,+00:00:03:36.880,1,1,+00:00:00:00.000,+00:00:19:00.610,+00:00:02:57.250,2,1,+00:00:00:00.000,+00:00:21:57.860,+00:00:10:53.430,1,1,+00:00:00:00.000,+00:00:32:51.290,+00:00:07:45.590,1,1,+00:00:00:00.000,+00:00:40:36.880,,,,,
EWS Burke,WOMEN | Under 21,GALLO FUENTES Paz,CHI,52289,2,+00:00:41:06.060,120,10,10,N/A,N/A,N/A,N/A,N/A,+00:00:08:00.770,2,2,+00:00:00:08.610,+00:00:08:00.770,+00:00:07:31.500,2,2,+00:00:00:08.540,+00:00:15:32.270,+00:00:03:38.450,3,2,+00:00:00:10.110,+00:00:19:10.720,+00:00:02:53.040,1,2,+00:00:00:05.900,+00:00:22:03.760,+00:00:11:01.380,2,2,+00:00:00:13.850,+00:00:33:05.140,+00:00:08:00.920,3,2,+00:00:00:29.180,+00:00:41:06.060,,,,,
EWS Burke,WOMEN | Under 21,BINGHAM Lauren,USA,25005,3,+00:00:41:24.580,60,5,5,N/A,N/A,N/A,N/A,N/A,+00:00:08:04.770,3,3,+00:00:00:12.610,+00:00:08:04.770,+00:00:07:29.520,1,3,+00:00:00:10.560,+00:00:15:34.290,+00:00:03:37.540,2,3,+00:00:00:11.220,+00:00:19:11.830,+00:00:03:03.020,3,3,+00:00:00:16.990,+00:00:22:14.850,+00:00:11:11.480,3,3,+00:00:00:35.040,+00:00:33:26.330,+00:00:07:58.250,2,3,+00:00:00:47.700,+00:00:41:24.580,,,,,
EWS Burke,WOMEN | Under 21,BOUCHER Lily,CAN,40222,4,+00:00:43:01.710,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:08:33.930,4,4,+00:00:00:41.770,+00:00:08:33.930,+00:00:07:38.860,4,4,+00:00:00:49.060,+00:00:16:12.790,+00:00:03:43.800,5,4,+00:00:00:55.980,+00:00:19:56.590,+00:00:03:06.600,5,4,+00:00:01:05.330,+00:00:23:03.190,+00:00:11:45.470,4,4,+00:00:01:57.370,+00:00:34:48.660,+00:00:08:13.050,5,4,+00:00:02:24.830,+00:00:43:01.710,,,,,
EWS Burke,WOMEN | Under 21,HENRY Justine,FRA,32717,5,+00:00:45:15.390,10,N/A,N/A,N/A,Development,5,88,Tribe Pyrenees Gravity,+00:00:08:41.700,5,5,+00:00:01:49.540,+00:00:09:41.700,+00:00:08:19.500,6,6,+00:00:02:37.470,+00:00:18:01.200,+00:00:03:41.970,4,5,+00:00:02:42.560,+00:00:21:43.170,+00:00:03:06.170,4,5,+00:00:02:51.480,+00:00:24:49.340,+00:00:12:18.210,5,5,+00:00:04:16.260,+00:00:37:07.550,+00:00:08:07.840,4,5,+00:00:04:38.510,+00:00:45:15.390,,,,,
EWS Burke,WOMEN | Under 21,HOLM Hanna,USA,39590,6,+00:00:48:18.790,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:09:46.120,6,6,+00:00:01:53.960,+00:00:09:46.120,+00:00:08:14.950,5,5,+00:00:02:37.340,+00:00:18:01.070,+00:00:04:08.180,6,6,+00:00:03:08.640,+00:00:22:09.250,+00:00:03:19.610,6,6,+00:00:03:31.000,+00:00:25:28.860,+00:00:12:57.860,6,6,+00:00:05:35.430,+00:00:38:26.720,+00:00:09:52.070,6,6,+00:00:07:41.910,+00:00:48:18.790,,,,,
EWS Burke,WOMEN | Under 21,BIXLER Erin,USA,26673,DNF,DNF,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,,,,,
EWS Burke,MEN | Under 21,MEIER-SMITH Luke,AUS,25147,1,+00:00:33:10.630,330,15,15,N/A,Pro,2,103,Propain Factory Enduro,+00:00:06:13.980,1,1,+00:00:00:00.000,+00:00:06:13.980,+00:00:06:14.410,1,1,+00:00:00:00.000,+00:00:12:28.390,+00:00:02:56.170,1,1,+00:00:00:00.000,+00:00:15:24.560,+00:00:02:29.350,1,1,+00:00:00:00.000,+00:00:17:53.910,+00:00:09:03.580,1,1,+00:00:00:00.000,+00:00:26:57.490,+00:00:06:13.140,1,1,+00:00:00:00.000,+00:00:33:10.630,,,,,
EWS Burke,MEN | Under 21,GILCHRIST Ryan,AUS,36859,2,+00:00:33:34.440,265,10,5,N/A,N/A,N/A,N/A,N/A,+00:00:06:22.650,2,2,+00:00:00:08.670,+00:00:06:22.650,+00:00:06:15.230,2,2,+00:00:00:09.490,+00:00:12:37.880,+00:00:03:01.270,3,2,+00:00:00:14.590,+00:00:15:39.150,+00:00:02:35.380,7,2,+00:00:00:20.620,+00:00:18:14.530,+00:00:09:06.330,3,2,+00:00:00:23.370,+00:00:27:20.860,+00:00:06:13.580,2,2,+00:00:00:23.810,+00:00:33:34.440,,,,,
EWS Burke,MEN | Under 21,HANCOCK Emmett,CAN,37051,3,+00:00:33:39.220,230,N/A,10,N/A,N/A,N/A,N/A,N/A,+00:00:06:27.550,8,8,+00:00:00:13.570,+00:00:06:27.550,+00:00:06:17.000,3,4,+00:00:00:16.160,+00:00:12:44.550,+00:00:03:00.800,2,4,+00:00:00:20.790,+00:00:15:45.350,+00:00:02:32.910,3,3,+00:00:00:24.350,+00:00:18:18.260,+00:00:09:04.580,2,3,+00:00:00:25.350,+00:00:27:22.840,+00:00:06:16.380,4,3,+00:00:00:28.590,+00:00:33:39.220,,,,,
EWS Burke,MEN | Under 21,KELLER Jake,USA,31400,4,+00:00:33:46.860,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:06:23.660,4,4,+00:00:00:09.680,+00:00:06:23.660,+00:00:06:18.150,4,3,+00:00:00:13.420,+00:00:12:41.810,+00:00:03:03.170,5,3,+00:00:00:20.420,+00:00:15:44.980,+00:00:02:33.280,4,4,+00:00:00:24.350,+00:00:18:18.260,+00:00:09:08.370,4,4,+00:00:00:29.140,+00:00:27:26.630,+00:00:06:20.230,6,4,+00:00:00:36.230,+00:00:33:46.860,,,,,
EWS Burke,MEN | Under 21,SHERLOCK Seth,CAN,40432,5,+00:00:33:58.210,195,5,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:06:22.800,3,3,+00:00:00:08.820,+00:00:06:22.800,+00:00:06:24.770,9,5,+00:00:00:19.180,+00:00:12:47.570,+00:00:03:02.760,4,5,+00:00:00:25.770,+00:00:15:50.330,+00:00:02:32.000,2,5,+00:00:00:28.420,+00:00:18:22.330,+00:00:09:11.530,6,5,+00:00:00:36.370,+00:00:27:33.860,+00:00:06:24.350,11,5,+00:00:00:47.580,+00:00:33:58.210,,,,,
EWS Burke,MEN | Under 21,RODGERS Lief,CAN,26651,6,+00:00:34:07.740,180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:06:26.950,7,7,+00:00:00:12.970,+00:00:06:26.950,+00:00:06:23.250,8,6,+00:00:00:21.810,+00:00:12:50.200,+00:00:03:07.070,14,6,+00:00:00:32.710,+00:00:15:57.270,+00:00:02:36.190,10,6,+00:00:00:39.550,+00:00:18:33.460,+00:00:09:13.230,7,6,+00:00:00:49.200,+00:00:27:46.690,+00:00:06:21.050,7,6,+00:00:00:57.110,+00:00:34:07.740,,,,,
EWS Burke,MEN | Under 21,BROWN John,USA,27555,7,+00:00:34:18.310,170,N/A,N/A,N/A,Premier,1,26,Yeti / Fox Factory Team,+00:00:06:37.260,14,14,+00:00:00:23.280,+00:00:06:37.260,+00:00:06:26.430,11,10,+00:00:00:35.300,+00:00:13:03.690,+00:00:03:06.200,13,9,+00:00:00:45.330,+00:00:16:09.890,+00:00:02:36.780,13,9,+00:00:00:52.760,+00:00:18:46.670,+00:00:09:09.270,5,7,+00:00:00:58.450,+00:00:27:55.940,+00:00:06:22.370,9,7,+00:00:01:07.680,+00:00:34:18.310,,,,,
EWS Burke,MEN | Under 21,SCHEELE William,NOR,33415,8,+00:00:34:19.610,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:06:30.000,9,9,+00:00:00:16.020,+00:00:06:30.000,+00:00:06:37.420,16,11,+00:00:00:39.030,+00:00:13:07.420,+00:00:03:05.750,11,10,+00:00:00:48.610,+00:00:16:13.170,+00:00:02:34.290,6,10,+00:00:00:53.550,+00:00:18:47.460,+00:00:09:14.070,8,8,+00:00:01:04.040,+00:00:28:01.530,+00:00:06:18.080,5,8,+00:00:01:08.980,+00:00:34:19.610,,,,,
EWS Burke,MEN | Under 21,PRINGLE Colby,CAN,35143,9,+00:00:34:27.810,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:06:26.900,6,6,+00:00:00:12.920,+00:00:06:26.900,+00:00:06:32.120,12,8,+00:00:00:30.630,+00:00:12:59.020,+00:00:03:04.870,10,7,+00:00:00:39.330,+00:00:16:03.890,+00:00:02:38.350,16,7,+00:00:00:48.330,+00:00:18:42.240,+00:00:09:23.500,12,9,+00:00:01:08.250,+00:00:28:05.740,+00:00:06:22.070,8,9,+00:00:01:17.180,+00:00:34:27.810,,,,,
EWS Burke,MEN | Under 21,JOHNSTON Guy,NZL,50550,10,+00:00:34:34.910,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:06:30.600,10,10,+00:00:00:16.620,+00:00:06:30.600,+00:00:06:32.970,13,9,+00:00:00:35.180,+00:00:13:03.570,+00:00:03:03.940,8,8,+00:00:00:42.950,+00:00:16:07.510,+00:00:02:35.850,8,8,+00:00:00:49.450,+00:00:18:43.360,+00:00:09:25.830,16,10,+00:00:01:11.700,+00:00:28:09.190,+00:00:06:25.720,15,10,+00:00:01:24.280,+00:00:34:34.910,,,,,
EWS Burke,MEN | Under 21,SNOW Jakob,USA,24674,11,+00:00:34:38.060,115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:06:34.240,11,11,+00:00:00:20.260,+00:00:06:34.240,+00:00:06:39.350,19,13,+00:00:00:45.200,+00:00:13:13.590,+00:00:03:03.900,7,12,+00:00:00:52.930,+00:00:16:17.490,+00:00:02:36.100,9,12,+00:00:00:59.680,+00:00:18:53.590,+00:00:09:21.180,10,11,+00:00:01:17.280,+00:00:28:14.770,+00:00:06:23.290,10,11,+00:00:01:27.430,+00:00:34:38.060,,,,,
EWS Burke,MEN | Under 21,JT FISHER ,USA,38262,12,+00:00:34:44.940,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:06:35.280,12,12,+00:00:00:21.300,+00:00:06:35.280,+00:00:06:34.000,14,12,+00:00:00:40.890,+00:00:13:09.280,+00:00:03:05.990,12,11,+00:00:00:50.710,+00:00:16:15.270,+00:00:02:36.200,11,11,+00:00:00:57.560,+00:00:18:51.470,+00:00:09:24.450,14,12,+00:00:01:18.430,+00:00:28:15.920,+00:00:06:29.020,17,12,+00:00:01:34.310,+00:00:34:44.940,,,,,
