race_name,race_class,name,nationality,rider_id,final_position,total_time,total_points,pro_points,queen_points,power_points,team.teamClass,team.teamClassId,team.teamId,team.teamName,stage_1_time,stage_1_stage_result,stage_1_cumulative_result,stage_1_cumulative_behind,stage_1_overall_time,stage_2_time,stage_2_stage_result,stage_2_cumulative_result,stage_2_cumulative_behind,stage_2_overall_time,stage_3_time,stage_3_stage_result,stage_3_cumulative_result,stage_3_cumulative_behind,stage_3_overall_time,stage_4_time,stage_4_stage_result,stage_4_cumulative_result,stage_4_cumulative_behind,stage_4_overall_time,stage_5_time,stage_5_stage_result,stage_5_cumulative_result,stage_5_cumulative_behind,stage_5_overall_time,stage_6_time,stage_6_stage_result,stage_6_cumulative_result,stage_6_cumulative_behind,stage_6_overall_time,stage_0_time,stage_0_stage_result,stage_0_cumulative_result,stage_0_cumulative_behind,stage_0_overall_time
EWS Val Di Fassa,WOMEN,HOVORKA Anja,SUI,37532,37,+00:00:45:46.530,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:04:49.970,41,41,+00:00:00:41.470,+00:00:04:49.970,+00:00:10:17.500,37,39,+00:00:02:21.860,+00:00:15:07.470,+00:00:09:17.730,38,38,+00:00:03:36.340,+00:00:24:25.200,+00:00:04:42.450,37,37,+00:00:04:13.210,+00:00:29:07.650,+00:00:16:38.880,37,37,+00:00:06:28.280,+00:00:45:46.530,,,,,,,,,,
EWS Val Di Fassa,WOMEN,DAVIDSSON Elina,SWE,38290,38,+00:00:46:17.970,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:04:53.980,44,44,+00:00:00:45.480,+00:00:04:53.980,+00:00:10:47.200,42,42,+00:00:02:55.570,+00:00:15:41.180,+00:00:09:13.850,36,39,+00:00:04:06.170,+00:00:24:55.030,+00:00:04:40.150,35,39,+00:00:04:40.740,+00:00:29:35.180,+00:00:16:42.790,38,38,+00:00:06:59.720,+00:00:46:17.970,,,,,,,,,,
EWS Val Di Fassa,WOMEN,MCKIRDY Angeline,CAN,23461,39,+00:00:46:38.100,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:04:52.050,42,42,+00:00:00:43.550,+00:00:04:52.050,+00:00:10:35.290,40,41,+00:00:02:41.730,+00:00:15:27.340,+00:00:09:36.970,41,40,+00:00:04:15.450,+00:00:25:04.310,+00:00:04:47.310,41,40,+00:00:04:57.180,+00:00:29:51.620,+00:00:16:46.480,39,39,+00:00:07:19.850,+00:00:46:38.100,,,,,,,,,,
EWS Val Di Fassa,WOMEN,RING Filippa,SWE,39267,40,+00:00:46:45.720,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:04:53.480,43,43,+00:00:00:44.980,+00:00:04:53.480,+00:00:10:53.030,43,44,+00:00:03:00.900,+00:00:15:46.510,+00:00:09:26.650,40,42,+00:00:04:24.300,+00:00:25:13.160,+00:00:04:40.190,36,41,+00:00:04:58.910,+00:00:29:53.350,+00:00:16:52.370,40,40,+00:00:07:27.470,+00:00:46:45.720,,,,,,,,,,
EWS Val Di Fassa,WOMEN,SAVELLI Irene,ITA,22163,41,+00:00:46:50.910,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:04:40.500,32,32,+00:00:00:32.000,+00:00:04:40.500,+00:00:10:36.280,41,40,+00:00:02:31.170,+00:00:15:16.780,+00:00:09:48.630,42,41,+00:00:04:16.550,+00:00:25:05.410,+00:00:04:51.880,42,42,+00:00:05:02.850,+00:00:29:57.290,+00:00:16:53.620,41,41,+00:00:07:32.660,+00:00:46:50.910,,,,,,,,,,
EWS Val Di Fassa,WOMEN,LONG Julia,CAN,22029,42,+00:00:47:21.510,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:04:47.930,39,39,+00:00:00:39.430,+00:00:04:47.930,+00:00:10:18.900,38,38,+00:00:02:21.220,+00:00:15:06.830,+00:00:09:10.320,35,36,+00:00:03:28.290,+00:00:24:17.150,+00:00:04:43.380,38,36,+00:00:04:06.090,+00:00:29:00.530,+00:00:18:20.980,44,42,+00:00:08:03.260,+00:00:47:21.510,,,,,,,,,,
EWS Val Di Fassa,WOMEN,MASIP IBANEZ Ares,ESP,36074,43,+00:00:48:06.000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:05:10.070,46,46,+00:00:01:01.570,+00:00:05:10.070,+00:00:10:54.270,45,45,+00:00:03:18.730,+00:00:16:04.340,+00:00:09:53.190,44,44,+00:00:05:08.670,+00:00:25:57.530,+00:00:04:54.680,43,44,+00:00:05:57.770,+00:00:30:52.210,+00:00:17:13.790,42,43,+00:00:08:47.750,+00:00:48:06.000,,,,,,,,,,
EWS Val Di Fassa,WOMEN,JOHNSEN Jonna,DEN,27207,44,+00:00:48:38.340,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:04:49.250,40,40,+00:00:00:40.750,+00:00:04:49.250,+00:00:10:53.270,44,43,+00:00:02:56.910,+00:00:15:42.520,+00:00:09:52.480,43,43,+00:00:04:46.140,+00:00:25:35.000,+00:00:05:06.920,44,43,+00:00:05:47.480,+00:00:30:41.920,+00:00:17:56.420,43,44,+00:00:09:20.090,+00:00:48:38.340,,,,,,,,,,
EWS Val Di Fassa,WOMEN,JENSEN Kaia,USA,26157,45,+00:00:51:55.560,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:05:28.280,47,47,+00:00:01:19.780,+00:00:05:28.280,+00:00:12:12.250,46,46,+00:00:04:54.920,+00:00:17:40.530,+00:00:10:25.600,45,45,+00:00:07:17.270,+00:00:28:06.130,+00:00:05:22.020,45,45,+00:00:08:33.710,+00:00:33:28.150,+00:00:18:27.410,45,45,+00:00:12:37.310,+00:00:51:55.560,,,,,,,,,,
EWS Val Di Fassa,WOMEN,ELLECOSTA Nadine,ITA,25437,DNF,DNF,0,N/A,N/A,N/A,Development,5,85,Abetone FullOut Gravity,+00:00:04:26.480,18,18,+00:00:00:17.980,+00:00:04:26.480,+00:00:21:07.460,47,47,+00:00:12:48.330,+00:00:25:33.940,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,,,,,,,,,,
